# state.teams.has( 呼叫點分類（判準：systems 2026-09-10 三類）
# [G] 純存在問句：守完之後【不再對那支隊做事】（清 dangling ref／決定別的事）⇒ has() 是對的，不用改
# [L] 存活守衛：守完之後【對那個 team 做事】（讀欄位／派任務／加總／寫入）⇒ has() 認不出 pending_erase ⇒ 要改 is_live_team
# [M] 守衛＋取值：同一個運算式裡就讀它 ⇒ 分類屬 L，★但修法不同（要拆成兩步，會動到那一行的形狀）
# [?] 判不出來 ——★一份沒有 [?] 的分類是可疑的（它表示分類者把不確定的塞進了某一類）
#
# ★★★這一欄是【機械代理判出來的草稿】，不是逐處人工判讀：
#   代理＝守衛之後，同一函式內這個 id 有沒有被①取出那支隊②當參數派出去 ⇒ 有＝L
#   ★而它的兩個已知限度都寫進 [?] 了：
#     ①【跨函式】：守衛在 A、使用在呼叫端（_check_* / *_api.gd 那幾處）⇒ 本工具看不到 ⇒ [?]
#     ②【只比較／記帳】：id 還出現但沒被取出來做事（語意問題）⇒ [?]
#   ★★逐處人工覆核【還沒做】—— 這份是給判準的人先看數量級的。
# 母體：86 處（docs/process/teams-has-callsites-raw.txt 有每處上下文三行）
site	line	class	reason
scripts/simulation/ambush_system.gd::check_ambush	29	L	守完之後【取出那支隊】做事 @31 var team: TeamData = state.teams[tid]
scripts/simulation/belief_system.gd::reconcile_firsthand	270	L	守完之後把它【當參數派出去】 @276 obs_team.update_reputation(sid, TRUST_DELTA)
scripts/simulation/equipment_system.gd::tick_all	8	L	守完之後【取出那支隊】做事 @10 var team: TeamData = state.teams[tid]
scripts/simulation/event_system.gd::process_events	19	L	守完之後【取出那支隊】做事 @21 var team: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd::_commit_conquest_attack	374	L	守完之後【取出那支隊】做事 @380 var prey_t: TeamData = state.teams.get(prey_id)
scripts/simulation/faction_ai_system.gd::_tick_conquest_scout	424	L	守完之後把它【當參數派出去】 @433 _commit_conquest_attack(state, team, prey_id)
scripts/simulation/faction_ai_system.gd::_has_resident_team_on_tile	622	L	守完之後【取出那支隊】做事 @623 var t: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd::_evaluate_all_body	1009	L	守完之後【取出那支隊】做事 @1011 var sub: TeamData = state.teams[sub_id]
scripts/simulation/faction_ai_system.gd::_evaluate_all_body	1034	L	守完之後【取出那支隊】做事 @1036 var team: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd::_precond_met	1597	L	守完之後把它【當參數派出去】 @1599 var tgt_pos: Vector2i = BeliefSystem.belief_pos(state, f.leader_team_i
scripts/simulation/faction_ai_system.gd::_report_to_leader	1808	L	守完之後把它【當參數派出去】 @1814 var ok: bool = _dispatch_envoy(state, team, f.leader_team_id, "member_
scripts/simulation/faction_ai_system.gd::_return_is_hopeless	3528	G	守完之後函式內不再出現 ⇒ 純存在問句／dangling 清理
scripts/simulation/faction_ai_system.gd::_try_join_target	3694	L	守完之後把它【當參數派出去】 @3700 var join_pos: Vector2i = BeliefSystem.belief_pos(state, team.team_id, 
scripts/simulation/faction_ai_system.gd::_find_trade_target	4232	L	守完之後【取出那支隊】做事 @4233 var t: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd::_has_independent	4285	M	同一運算式裡就讀它（守衛＋取值）｜if state.teams.has(tid) and state.teams[tid].faction_id == -1:
scripts/simulation/faction_ai_system.gd::_nearest_independent	4293	L	守完之後【取出那支隊】做事 @4294 var t: TeamData = state.teams[tid]
scripts/simulation/faction_ai_system.gd::cleanup_extinct_teams	4425	L	守完之後【取出那支隊】做事 @4427 _route_extinct_assets(state, state.teams[tid])
scripts/simulation/faction_ai_system.gd::_richest_member	5982	L	守完之後把它【當參數派出去】 @5984 var snap: Dictionary = f.known_member_states.get(mid, {})
scripts/simulation/faction_ai_system.gd::_evaluate_uprising	7060	L	守完之後【取出那支隊】做事 @7061 var oid_team: TeamData = state.teams[old_owner_id]
scripts/simulation/faction_ai_system.gd::_evaluate_owner_contact	7336	L	守完之後把它【當參數派出去】 @7339 var snap: Dictionary = BeliefSystem.best_estimate(state, team.team_id,
scripts/simulation/game_setup.gd::_setup_explicit_teams	700	L	守完之後【取出那支隊】做事 @701 state.set_team_faction(state.teams[tid], cfg_to_actual[fid2])
scripts/simulation/game_setup.gd::_setup_player	803	L	守完之後【取出那支隊】做事 @806 var pteam: TeamData = state.teams[pteam_id]
scripts/simulation/interaction_system.gd::process_on_arrival	81	L	守完之後【取出那支隊】做事 @85 var arrived: TeamData = state.teams[arrived_id]
scripts/simulation/interaction_system.gd::process_on_arrival	92	L	守完之後【取出那支隊】做事 @94 var other: TeamData = state.teams[other_id]
scripts/simulation/interaction_system.gd::process_colocated_residency	137	L	守完之後【取出那支隊】做事 @139 var t: TeamData = state.teams[tid]
scripts/simulation/interaction_system.gd::process_colocated_residency	154	L	守完之後【取出那支隊】做事 @157 if (state.teams[oid] as TeamData).tile_pos != t.tile_pos:
scripts/simulation/interaction_system.gd::process_on_move	174	L	守完之後【取出那支隊】做事 @178 var moved: TeamData = state.teams[moved_id]
scripts/simulation/interaction_system.gd::process_on_move	185	L	守完之後【取出那支隊】做事 @187 var other: TeamData = state.teams[other_id]
scripts/simulation/interaction_system.gd::_tick_readiness	199	L	守完之後【取出那支隊】做事 @201 var team: TeamData = state.teams[tid]
scripts/simulation/interaction_system.gd::_try_interact	245	L	守完之後【取出那支隊】做事 @306 var a: TeamData = state.teams[id_a]
scripts/simulation/interaction_system.gd::_try_merge	626	G	守完之後函式內不再出現 ⇒ 純存在問句／dangling 清理
scripts/simulation/interaction_system.gd::_write_tier2_intel	1354	M	同一運算式裡就讀它（守衛＋取值）｜var obs_leader2: PersonData = state.persons.get((state.teams.get(obs_i
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	119	L	守完之後把它【當參數派出去】 @120 out.append("懸空 Team%d.combat_target=%d 不存在" % [tid, t.combat_target])
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	121	L	守完之後把它【當參數派出去】 @122 out.append("懸空 Team%d.social_target=%d 不存在" % [tid, t.social_target])
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	123	L	守完之後把它【當參數派出去】 @124 out.append("懸空 Team%d.order_target_id=%d 不存在" % [tid, t.order_target_i
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	125	L	守完之後把它【當參數派出去】 @126 out.append("懸空 Team%d.parent_team_id=%d 不存在" % [tid, t.parent_team_id]
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	129	L	守完之後把它【當參數派出去】 @130 out.append("懸空 Team%d.known_reputations 含死 Team%d" % [tid, k]); break
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	132	L	守完之後把它【當參數派出去】 @133 out.append("懸空 Team%d.strategic_assignments 含死 Team%d" % [tid, k]); br
scripts/simulation/invariant_audit.gd::_check_no_dangling_team_id	136	L	守完之後把它【當參數派出去】 @137 out.append("懸空 team_discovered[%d] 含死 Team%d" % [obs, did]); break
scripts/simulation/manpower_system.gd::tick_all	273	L	守完之後【取出那支隊】做事 @275 var holder: TeamData = state.teams[tid]
scripts/simulation/manufacturing_system.gd::tick_all	135	L	守完之後【取出那支隊】做事 @137 var team: TeamData = state.teams[tid]
scripts/simulation/message_system.gd::propagate_on_arrival	102	L	守完之後【取出那支隊】做事 @104 var arrived_team: TeamData = state.teams[arrived_id]
scripts/simulation/message_system.gd::propagate_on_arrival	106	L	守完之後【取出那支隊】做事 @108 var other_team: TeamData = state.teams[other_id]
scripts/simulation/movement_system.gd::process	41	L	守完之後【取出那支隊】做事 @43 var team: TeamData = state.teams[tid]
scripts/simulation/movement_system.gd::process	64	L	守完之後【取出那支隊】做事 @66 var team: TeamData = state.teams[tid]
scripts/simulation/npc_ai_system.gd::vendetta_target	61	?	守完之後這個 id 還出現，但只是比較／記帳 @63 return foe.team_id
scripts/simulation/npc_combat_system.gd::process_ongoing_combat	71	L	守完之後【取出那支隊】做事 @73 var team: TeamData = state.teams[tid]
