# docs/process/landed-slices.tsv —— ★已落地 slice 登記檔（延後判決到期閘的資料來源）
# ★★這份檔【由 git log 機械生成】，不是手工維護 —— 因為「merge 時順手 append 一行」＝靠人記得，
#   而「靠人記得」正是延後判決這個病的成因本身。
# 生成指令（merge 後跑，或任何時候重跑；輸出可直接覆蓋本檔 body）：
#   git log --format="%H|%ad|%s" --date=short --all \
#     | grep -E "\|merge [A-Za-z0-9][A-Za-z0-9._-]*( |$)" \
#     | awk -F'|' '{split($3,a," "); print a[2]"\t"substr($1,1,8)"\t"$2}' | sort -u -k1,1
#
# ★誠實限（★必須跟這份檔一起讀）：
#  ①★高召回低精度：token 取「merge」後第一個字 ⇒ 會混進 act/key/clamp 這類雜項。
#    ★★而精度【不重要】：閘只查 `defer_until:` 出現過的 token，雜項永遠不會被查到。
#  ②★失效方向是【漏紅】不是【假紅】：merge message 沒照 `merge <token>` 寫 ⇒ 該 slice 不在檔裡
#    ⇒ 閘【錯過】一次到期，而不會誤報。★★所以本檔的偵測力上限＝ merge message 慣例的遵守率。
#  ③★★★本檔記的是「有人宣稱 merge」，不是「真的落地」——
#    血證：`S1c e3cefcf3` 的 commit message 寫著 merge，而該 commit 含 4 份 handback、
#    production 0 行，`git merge-base --is-ancestor` 為否。★沒有任何機制能修這一條，只能具名。
#
# slice_id	commit	date
#
# ★★★2026-09-22【它靜默空轉了很久】—— systems 回頭掃自己的帳時抓到：
#   舊生成指令要的是 `merge <ascii名>`，而這裡的 merge 訊息一律是 `merge: <中文>（feat/xxx @sha）`
#   ⇒ ★**冒號就殺了它**（`merge ` 後面要 `[A-Za-z0-9]`）⇒ **近期所有 merge 一筆都沒進來**；
#   而檔上是 55 筆、舊 pattern 重跑是 66 筆 ⇒ **連檔本身也是舊的，沒人重生成過**。
#   ⇒ ★★**失效是靜默的**：閘只在【token 命中清單】時紅 ⇒ 清單永遠不長 ⇒ **到期的延後判決永遠不會被抓**。
#   ⇒ ★★★修法：生成改成**聯集**（舊 `merge <名>` ∪ 從 `feat/<名>` 取）——
#     **拿掉對【訊息寫法】的依賴**，而 branch 名本來就在每一則 merge 訊息裡、本來就是 ascii。
#   ★加寬只會**多列**不會少列 ⇒ 對閘而言只會【更易紅】，而那正是它本來該做的事。
#
# ★新生成指令（聯集）：git log --format="%H|%ad|%s" --date=short --all 之後，
#   對每行取 `|merge ([A-Za-z0-9][\w.-]*)`，取不到再取 `|merge[:：]?.*?feat/([A-Za-z0-9][\w.-]*)`。
#   （完整 python 版記在 docs/progress.md 2026-09-22 那一節）
#
117	f0f84469	2026-08-26
4b-census	0594d4c1	2026-09-16
A	8077cf09	2026-09-01
B	dbc31952	2026-08-03
B-v0	ecf818c4	2026-09-07
EWMA	a0a9ae0a	2026-08-20
F0	8df7d33d	2026-08-07
F1	b677e0b5	2026-08-07
F2	5950ce65	2026-08-07
F3	11429026	2026-08-07
F4	1cd5cfbf	2026-08-07
LOD	821d42dc	2026-09-01
S1a	4d30073a	2026-08-27
S1b	c26c5ca4	2026-08-27
S1c	e3cefcf3	2026-08-27
S2	746ff6e7	2026-08-27
S3	9abeb7f8	2026-08-27
S4b	41999987	2026-08-28
S5a	dbd18b6a	2026-09-01
S5b	9fb63ebe	2026-09-01
S5c	acbb425d	2026-09-01
S6	53fee2a8	2026-09-01
SLICE	2fef2081	2026-08-01
act	abaf519b	2026-08-26
attempt	38d1d98a	2026-08-26
band	f50d2fa8	2026-09-02
bed-roll-call-6	352c711a	2026-09-22
belief-staleness-physical	ff4e44f5	2026-09-18
cadence	d5fbd6de	2026-07-13
cadence-stagger	b57df261	2026-08-27
call_us	5c4c8b52	2026-08-27
care-loop	a575c4fa	2026-08-11
clamp	82e554f3	2026-08-26
conquest-scout-corridor	9870bdf2	2026-09-16
convoy	c0bad05e	2026-08-21
crisis-bed-rollcall	77177b3f	2026-09-22
cross-run-static	6fb1bd10	2026-09-07
day-length-single-source	f235c08c	2026-09-22
declamp-price	2b102f03	2026-09-07
deterministic-observation-noise	3fb2c320	2026-09-22
e1-annihilation	5498faa7	2026-06-19
e3-player-exit	d30c1ef5	2026-06-19
envoy-ptype-tap	46efcd8c	2026-09-06
faction-cohesion	031a5bea	2026-08-05
flee-to-safety	c50c0ca0	2026-09-02
freeze-multi-perception	e71c0ba7	2026-09-18
g1a-mint-obs	02ac04b3	2026-06-19
g1b-orders	11f0e20a	2026-06-19
g1d-merchant	a3c987b0	2026-06-19
g2a-relation-graph	8df367fd	2026-06-19
g2b-ambition-ladder	792ab277	2026-06-19
g2c-rung-task	f602874d	2026-06-19
g2d-vendetta	8c640077	2026-06-19
g3a-belief-accessor	a577e833	2026-06-19
gather-dirty-flag	a47c07c3	2026-08-27
goal-fate	0bdb0cd9	2026-08-26
godview	ff01ec79	2026-09-02
grudge-ledger-a	df04a6bb	2026-09-17
guard	3101fec8	2026-09-01
iii	e74ce5ce	2026-08-11
implementer	633eda19	2026-09-11
infra	c6d0d12b	2026-08-26
interrupt-not-replace	48476d25	2026-09-11
join-occupy-belief-level	02e8f095	2026-09-18
key	b9bac234	2026-08-26
labor-slice	eb20531d	2026-08-19
ladder	e8744da4	2026-08-26
ladder-dissolve	6d6ccd60	2026-08-26
leader-succession	b3aa8ffd	2026-06-19
local-value	6e39995a	2026-08-26
lord-care-loop	401dae27	2026-08-05
main	7a6f88cb	2026-09-11
market-fill	ef846435	2026-08-27
market-thickness-v0	cd70364e	2026-09-07
material-trajectory	1958f645	2026-08-26
mfg	2c25a82c	2026-08-03
