# docs/process/defers.tsv —— ★延後裁定追蹤表（systems 立 2026-09-05，blueprint 裁「散文裁定不受追蹤＝會被遺忘」）
# ★★★met_check 的【極性】：本表幾乎每一行都是「病消失了」（`! grep -q "<病的文字>"`），
# ★met_check 內【最好不要有字面 tab】—— ★★★訂正（2026-09-18 當天）：我原本在這裡寫「一顆 tab 就把那一列切碎、那條 met_check 從寫下那天起就不能跑」——**那是錯的**。★閘自己的讀法是 `while IFS=$'	' read -r a b c met_check`，**最後一個變數會吃掉剩下的全部（含內部 tab）** ⇒ 它一直都跑得起來（實測舊列 rc=1＝病還在）。★★真正會被切碎的是**我臨時用的 `awk -F'	' '{print $4}'`** ⇒ **壞的是我的讀法，不是那一列**。★★★所以這行規矩降級成建議：**欄位裡避免字面 tab，因為【讀它的人不只一種】**。
#   ★而若你的條件是「某個東西【出現】」，**不要帶那個 `!`** ——
#   ★★血證 2026-09-16：systems 照抄了形狀、沒照抄語意 ⇒ **新增那一行當場把 main 的 defer 閘弄紅**
#   ★★★判準：**寫完一行立刻跑一次 `defer-gate.sh`** —— **它一秒鐘，而極性寫反不會有任何別的訊號。**
#
# ★★★【結案書必寫【成立謂詞】】（WHAT 立 2026-09-22）：任何【以事實為理由】的結案，結案書要寫出那個事實的謂詞；謂詞被【世代邊界內的 merge】直接推翻 ⇒ 結案【自動重開】，依原門檻重判。
#   ★防「世界變了所以重開」變萬用鑰匙：只認【寫進結案書的具名謂詞】，沒寫進去的變化【不觸發】，「我覺得世界變了」【不算】。
#   ★★血證（本表 one-pass 那列，2026-09-22）：結案理由是「`estimate_catch_up` 抽全域亂數」，而世代 6 把它推翻 ⇒ 分類翻面 ⇒ 門檻本文一字未動而結果相反。★★★「永久」從來沒有【跨世代】的意思。
#
# ★★★本案實證：2026-08-20 裁「零 LOD（拆 near/far）排最後」，理由是「花預算 + 依賴時間包層級制」。
#   兩個理由後來【都消滅了】（層級制落地、而它開始燒錢），★而【沒有人回頭】——
#   因為那個裁定寫在 `progress.md` 的【散文】裡，不在任何會被檢查的地方。
#
# ★★★★【2026-09-07 血證：met_check 自己也會得那個病】
#   ★我寫 `ten-consequence-farm-income` 的 met_check 時,grep 的是 `order_system.gd` 裡的 `coin.flow.by`
#   ★★而實測:`coin.flow` 在 `scripts/simulation/resource_bank.gd`(4 處),order_system.gd【0 處】
#   ⇒ ★★★那條 met_check【永遠不會觸發】—— 而它不觸發的樣子,跟「條件還沒到」一模一樣
#   ⇒ 規矩:met_check 若 grep 一個符號,★【先去查那個符號現在住在哪個檔】,不要憑印象寫路徑
#      (我是在稽核『每一條 met_check 會不會永遠不觸發』時,在自己一小時前寫的那條上抓到的)
#
# ★★★★★【2026-09-09 同一個病的【上一層】：不是路徑錯，是【詞彙】是憑空想的】
#   `ore-depletion-counter` 的 met_check grep `depletion|remaining_yield`，
#   ★而 code 裡真正的字是 `harvest_deplete`（`resource_system.gd:458`）——
#   ★★`depletion` 不是 `harvest_deplete` 的子字串 ⇒ 那條 met_check 永遠不會觸發。
#   ⇒ 規矩升級：★★★**met_check 的詞彙要從【目標檔案現有的詞彙】取**
#     （先 `grep` 那個檔看它怎麼命名，再寫 pattern），**不要用自己想的詞**。
# ★★★★★★【2026-09-10 第三種寫法錯：我寫的是「修好了沒」，不是「該修了沒」】
#   `farm-pot-single-source` 的 met_check 我原本寫成
#     `required_terrain 存在 && _farm_pot 【不再】有舊形狀`  ⇒ ★那是【完成條件】
#   ⇒ ★★而 defer 的 met_check 要的是【到期條件】：`required_terrain 存在 && _farm_pot 【仍是】舊形狀`
#   ⇒ ★★★寫成完成條件的 defer【永遠不會叫】—— 它只會在有人剛好修好的那天默默變綠，
#     而那正是這張表要防的事（沒有人回頭）。
#   ★判準一句：**met_check 要在「該做而還沒做」時回 0，不是在「做完了」時回 0。**
#
#   ⇒ ★★而本閘【抓不到這一類】，我明說：pattern 沒命中的樣子，
#     跟「條件正確地還沒到」一模一樣，而「還沒實作的東西本來就 grep 不到」是合法情形
#     ⇒ 無法用「詞彙不存在」當紅燈。★★★所以這一類的防線是【人在碰到那個 arc 時複驗】，
#     不是閘 —— 而把這句話寫在這裡，就是那條防線本身。
# ★欄位（TAB 分隔，四欄）：
#   token        唯一代號（kebab-case）
#   summary      裁定摘要（一行）
#   defer_until  ★【解除條件】—— 必須寫成【人看得懂的條件】，不是日期、不是「有空再說」
#   met_check    ★★★【可執行的檢查】—— shell，exit 0 ＝【條件已達成】⇒ 閘會紅
#                ★★沒有 met_check 的行【直接 FAIL】（照 merge-gates.tsv 的 expect 欄前例：
#                  ★★★不能有「沒有判準也算過」的路徑）
#
# ★★★★【2026-09-06 blueprint 立】「XX 需要時」類觸發，一律改寫成【該資源的可量門檻】
#   ★「需要時」＝【某個數字越線】⇒ 把那個數字寫出來
#     （例：「perf 需要時」⇒ `最近的量測檔出現 wall_s > 28800`（＝8 小時）——
#      ★★量測檔本來就帶 `wall_s`，是機械可讀的）
#   ★★★而【寫不出數字的「需要」＝還沒想清楚需要什麼】
#   ★真不可量化的極少數 ⇒ 退而求其次＝【定期複審日期】（也是 met_check：`[ "$(date +%F)" \> "YYYY-MM-DD" ]`）
#   ⇒ ★★總之【表上不留裸 memory 行】
#
# ★★★★【2026-09-06 修 met_check 的參照點】:凡是比 branch 有沒有進主線的,一律比 `origin/main`
#   —— ★不要比【本地 main】:主 dir 可能落後(它是多角色共用的讀取面,不保證同步)
#   ⇒ ★★而那會讓鬧鐘【在它最該響的時候不響】(東西已經上去了,而本地還沒看到)
#   ⇒ ★★★血證 2026-09-06:⑧ 已在 origin/main,而 defer 閘印 PASS —— 因為本地 main 落後兩顆
#
# ★★★★【2026-09-06 第二個血證:判準要對應【你真正在等的事】】
#   ★我把三張經濟票的 met_check 寫成「`ls docs/measurements/*batch1-compare*` 有東西」
#   ⇒ ★★而【一個 interim 檔就滿足它】—— 對比輪十格才做完【一格】,鬧鐘就全響了
#   ⇒ ★★★我寫「檔案存在」時,心裡想的是【那一輪跑完了】——【兩者不是同一件事】
#   ⇒ 修法:改成【完成標記】`docs/process/verdicts/batch1-compare-COMPLETE.measure.json`
#      (★由 measurer 在【十格全部交完】時才寫)
#   ⇒ ★而通則:met_check 要問「這個條件為真的時候,我【真的】可以動工了嗎?」
#
# ★★★★【2026-09-06 blueprint 立】「歸某 arc」與「排某事件後」的分界：
#   ★「歸某 arc／歸某 backlog」 ⇒ 【合法的家】—— roadmap 由【用戶】駕駛，不需要 token
#   ★★「排某事件之後／排最後／等 X 再做」 ⇒ 【要 token】
#     —— ★★★因為它綁的是【一個會過去的事件】，而事件過去之後【沒有人會回頭】
#        （血證：「零 LOD 排最後」＋本日一次判掉的存量裡，★兩筆的觸發事件【早就到期了】：
#          `exam-budget-recalc`（時間重錨已落地）／`envoy-ptype-tap`（終卷已到））
#
# ★解除後：把該行【刪掉】並在 commit message 寫明 —— ★★不要改成「已完成」留在表上
#   （留著會讓這張表長大，然後沒人看 —— 那正是它要防的病）
#
# ★【2026-09-06 CLOSE 三筆】money-genesis-start／market-thickness-v0／declamp-price
#   解除條件（批後同 seed 對比輪的量測檔）★已達成 ⇒ 三張票都已派工到 implementer：
#   ⑩ declamp 核心已落地 `feat/declamp-price` @02801041（驗收進行中）；⑨／B-v0 在手上。
#   ★★所以是【延後結束了】,不是【條件放鬆了】—— 兩者在表上必須分得出來,
#     ★★★否則「做完了所以移除」跟「等不下去所以移除」會長成同一個動作。
#   ★批 2 規矩（我立）:這三張【不得一起 merge】—— 動的是不同子系統,
#     合著進會讓下一條 baseline 讀不出是誰造成的。
token	summary	defer_until	met_check
belief-perfield-rest	resource_scale／combat_target_est 的逐欄位時戳——未修理由是【目前無讀取端消費它們的新鮮度】	有任何讀取端開始檢查這兩個欄位的新鮮度	git grep -nE 'BELIEF_STALE_TICKS' -- scripts/simulation | grep -qE 'resource_scale|combat_target_est'
belief-pos-tristate	belief_pos 把【從未有情報】與【情報過期】回成同一個 (-1,-1)——修法抄 appearance() 三態	墓碑(①票)落地(production 出現 live_teams/all_teams 縫)	git grep -q 'func live_teams' -- scripts/data
event-density-schedule	事件密度排程未實裝(per-team cadence 由該隊自身活動密度決定,睡覺的隊少輪是因為沒事不是因為離玩家遠)	perf 越線:任一量測檔出現 wall_s > 28800(=8 小時)	grep -rho '"wall_s"[[:space:]]*:[[:space:]]*[0-9.]\+' docs/process/verdicts docs/measurements 2>/dev/null | grep -o '[0-9.]\+$' | awk '$1 > 28800 {found=1} END {exit found?0:1}'
single-writer-leftovers	單寫者 slice2 收案時暫緩的小項(反向 roster audit／beast_system L2 升級／subteam clear())——★解除條件不可量 ⇒ 定期複審日期｜★★★**複審（systems 2026-09-22，日期到期被 `defer-open` 逼出來的）—— 我逐項 grep 驗過，三項變兩項**：①**反向 roster audit ＝【已經做完了】**（`headless_test.gd:447 _test_invariant_reverse_roster`）⇒ ★**而我們一直不知道它做完了** —— 這就是日期型複審的真實產出；②`beast_system` 的 L2／LOD 升級 ＝ **還沒做**（該檔 56 行、LOD 相關字 0 個，而 manufacturing／outpost／sim_runner 都接了）⇒ **留著**；③`subteam clear()` ＝ ★**我查不出它現在指什麼**（描述不足以被複審）⇒ **退役** —— ★★一個【自己說不清楚要做什麼】的待辦，留著只會每次複審都卡住，而它永遠不會被做｜★★★**而 met_check 從【日期】換成【機械】**：`beast_system.gd` 出現 LOD 接線就退役 —— **日期型複審是退而求其次；能機械化的那一刻就該換掉**	★`beast_system` 接上 LOD／L2 時（★已改成機械判準，不再靠日期）	grep -qE 'LOD|lod_' scripts/simulation/beast_system.gd
C-refill-bed	C 補量:①C-1 需【有 factions 的床】(評估迴圈 faction_ai:898 才進得去)②C-2 需【16+/31+ 級距有樣本】(config 造大團或跑到自然長大)③同床加【隊規模×距錨點距離】交叉表(關掉「小隊 1.35→3.12 是否⑧造成」那個開放問題)——★三者同床可解;優先序=經濟三票之後(C 是觀察題不擋事)	經濟三票收束(batch2 完成標記產出)	test -f docs/process/verdicts/batch2-economy-COMPLETE.measure.json
ten-ghost-and-oscillation	⑩ 的 7b(幽靈資產:蓋了沒人用)與 7c(震盪簽名:build-spree→短缺→反彈)——★implementer 誠實回報 declamp_effects_bed【答不了】(要設施 consumer 追蹤 + 時間序列),而他【沒有假裝覆蓋】,在卷面上明說不涵蓋 ⇒ ★★所以它需要一個 token,否則「明說不涵蓋」會變成「沒有人記得」	批 2 三票收束後重新裁定(屆時 batch2 對比輪的數字會說 7b/7c 值不值得建專門的追蹤)	test -f docs/process/verdicts/batch2-economy-COMPLETE.measure.json
ten-zero-gain-reach	⑩ 的【觸達】那一格:零價到底有沒有真的殺掉訂單(buyer_reject_priced_too_high 次數（舊名 arb_kill_zero_gain，2026-09-08 改）)——★驗收⑤答的是【結構】(5 個消費點全是 OR/乘數 ⇒ 不是懸崖),那個方法對;★★但它答不了【次數】:③④量的是【估值層】501,636 次,而估值層變了不等於【決策層】變了;★★★這格 ⑩ 之前【恆 0】(clamp 讓 local_value 恆 >0)⇒ 它非 0 本身就是「白送區流到下游」的證據｜★★2026-09-07 轉【等交付】：tap `arb_kill_zero_gain` 已隨 B-v0 落 main（ecf818c4），★而 until 要求的是「加那一格【並量】」——tap 有了，量還沒 ⇒ token 不撤，met_check 改追【交付】	窗後量測輪：觸達格的實測數（不另起長跑，掛在市場厚度那輪）	test -f docs/process/verdicts/ten-zero-gain-reach.measure.json
status-files-delete	現況檔 docs/process/status/*(約 370KB)是否刪除——★2026-08-21 停更並寫「觀察至 2026-08-28 沒人 miss 就刪」,★★而那句寫在散文裡沒有人追,到 2026-09-07 已逾期 10 天;★★★而現在去看,證據【反過來】:02_reviewer.status.md 154KB、2026-09-02 還在被寫、此刻還有未 commit 改動 ⇒ 有人在用 ⇒ 刪除條件【不成立】,不能照原計畫執行；★★★**2026-09-22 systems 找到原因並修了**：「有人在用」不是因為還需要它 —— **停更宣告只寫在 `03b_measurer.md`，而 `02_reviewer.md:14`、`04_qa.md:3`、`detail/00_roles-cases.md:86`、`detail/03_implementer-cases.md:7` 四處還在【命令】角色去更新它**（★`04_qa.md:3` 甚至在**同一行**裡先寫「⏸已停更」再寫「開工 → 更…」）⇒ 審查員 9/02、9/17 各寫一次，**他是照著自己的角色文件做的**；四處已統一改成「別再寫入＋誰在線讀 peers.sh」。★★**所以「沒人 miss」那個觀察窗從未真正開始** ⇒ **重新計時：2026-09-22 起觀察一週（至 2026-09-29）**，★★★而判準不是「有人記得」是 **`git log --since` 這四個檔零寫入**。★不刪檔：它們是紀錄，而刪除是 WHAT/用戶的欄。	連續 30 天沒有任何 status 檔被改過(=真的沒人在用)	test -z "$(find docs/process/status -name '*.md' -mtime -30 2>/dev/null)"
# ★★★【2026-09-07 blueprint 預註冊的分流判準】—— 名單(A 階段跑床的結果)來了【直接套,不再議】
#   必重跑三類:(a)被【意圖帳／裁決】引用過的數字 (b)推過【用戶 TG】的結論 (c)當過【merge-gate 判準】的床
#   其餘:★記帳標記「產地含吞寫 setter」,【不重跑】
#   ★★對外紀律:名單落地前【不對外撤結論、也不預告災難】——現在只有「可能」,量級未知;
#     名單 + 重跑結果【一起】推用戶,一次講清。
#   ★★★而【現在就寫下來】的理由:等名單來了再議,會在【已經看到數字】之後才定判準
#     —— 那正是「預寫解讀」那條要防的相反面。
# ★★★【2026-09-07 預先講死:stage B 之後 headless 的失敗清單【會變】,而那【不是回歸】】
#   事實:26 支有直寫的床裡,同時是【註冊 merge-gate】的只有一支 = scripts/debug/headless_test.gd
#        (★它只透過 hook 才跑得到:headless-regression.sh —— 註冊表 11 支直接跑 .gd、19 支經 bash hook,
#         直接掃法會算出 0,而那是【載體】漏掉的第三次)
#   ★而它 runtime 確認被污染(population + wounded 都被吞寫)
#   ⇒ ★★stage B 把那些 fixture 改成合法寫入之後,那些場景【第一次真的有人】
#      ⇒ 失敗清單【一定會變】—— ★★★而那個變化是【修好了】不是【弄壞了】
#   ⇒ 處置:baseline docs/process/.headless-baseline-list.txt 必須【重生成】,而重生成時要附一句
#      【哪幾條變了、為什麼】—— ★否則新 baseline 會把舊污染【洗白】成新常態
#   ★★★這段【現在寫】的理由:等看到新清單再判,就是在【已經看到數字之後】才定判準
scaffold-swallowing-setters	★遷移鷹架:team_data.gd 五個計算屬性的 `set(_value): pass`(:57 population／:242 wounded／:260 anon_tiers／:269 anon_combat_skill／:277)——★它們的用途是【讓舊賦值站繼續編得過】,而遷移完成後【沒有人回來拆】⇒ ★★變成永久的靜默失敗產生器(直寫處裸掃 scripts/ 合計 107);★★★本 token 就是 blueprint 立的「鷹架出生必掛拆除 token」那條規矩的【第一個實例】	★【2026-09-07 訂正】原本寫「五個 setter 全部移除(賦值變 parse error)」——★★而實測【拿掉 setter 不會變成 parse error】,賦值仍是靜默 no-op ⇒ 移除【達不到目的】;★★★真正在等的是【呼叫端清乾淨】:活的 10 支床改走合法路徑、死碼 16 支刪掉	! grep -rqE '\.(population|wounded|anon_tiers|anon_combat_skill|anon_wage)[[:space:]]*=[^=]' scripts/debug/
