# 階段④ 主 triage：140 條【在等什麼】分群（只盤不修，known_issues.md 一字未改）
#
# ═══ ★母體（先寫死，且它會再長）═══
# `docs/known_issues.md` 的 `^## ` 行 ＝ **140**（檔案 2459 行）
#   ★另兩種數法：`^# `=1（檔頭）／`^### `=139 ⇒ ★★而 ### 多半是【聚合體內部的子項】（見群⑨）
#   ⇒ ★★★「140 條」≠「140 件在等的事」：★10 個聚合體自己就吃掉近千行
#
# ═══ ★★★先報壞消息：純機械（關鍵詞）分群【不能用】═══
# 我先寫了一版關鍵詞分類器（待量／待裁／PARK／arc…），跑出來：①8 ②8 ③9 ★④108 ⑤7
# ★而校準物打掉它：6 條裡【錯 5 條】。
# ★★它的失效方向正好是最危險的那個：77% 掉進 ④，而 ④ 是【一出來就立即排】的那群
#   ⇒ ★★★等於把 108 條（含大量已結案的）直接排進工作。
# ⇒ 分群不是 grep 題，是【讀】題。下表逐條讀出來，每列附可複驗引文。
#
# ═══ ★群集 ═══
#   ①等 arc         =  24
#   ②等量測           =  12
#   ③等裁決           =   6
#   ④真 backlog     =  37
#   ⑥等外部觸發         =   8
#   ⑦已結案／純紀錄       =  43
#   ⑨聚合體           =  10
#
# ★★★我加了三群（★都是被資料逼出來的，不是想分細）：
#  ⑦已結案／純紀錄 = 43 ★若不分出來它們【全部】落進 ④「不等任何東西」⇒ 被當 backlog 立即排
#     ⇒ ★★★這是本輪最大的坑：140 條裡有 43 條是【紀錄】不是【待辦】。
#  ⑥等外部觸發 = 8 ★校準物 2396/2444 的觸發是「下次有信被重送」——①②③④【沒有一格裝得下】
#     ⇒ 依你「⑤讀不出來別硬塞」的紀律我沒硬塞；★★而它們讀得出來，是【分類表缺一格】。
#  ⑨聚合體 = 10 ★一個 `## ` 底下 87／105／552 行、內含幾十個子項 ⇒ 對它問「在等什麼」沒有單一答案
#
# ═══ ★★校準（★而我先講它【不成立】的那一半）═══
# 你指定的校準物＝今天帶【回訪：】的 6 條。我的分群：
#   2307 ②✓ ／ 2328 ②✓ ／ 2352 ③✓ ／ 2366 ②✓ ／ 2396 ⑥ ／ 2444 ⑥
# ★★★而我在分類前【就讀過它們的回訪行】⇒ 那 4 個 ✓【不能】證明我的判準對。
#   ⇒ 照實說：這 6 條在我這裡是【範例】不是【盲測】。★我沒有把它當成通過的證據。
# ★★但它們仍做到了校準物該做的事：2396/2444 讓【分類表缺一格】現形。
#
# ═══ ★★★而校準物母體被低估了：不是 6 條 ═══
# ★我改搜「觸發條件」（不是「回訪」），另外找到 4 處：
#   :108 ／ :145 ／ :154（全在 [78] 效能 arc 收束裡）「★再驗觸發條件：市場成交量到達可統計量級時」
#   :1028（在 [1022] 裡）「觸發條件=長窗數據見『狼卡可解 gate 前乾等』」
#   :1793-1799（[1793] 整條就是「blueprint 已各給處置與觸發條件」）
# ⇒ ★★帶觸發條件的條目 ≥ 10 條，不是 6 條 —— ★★★只是它們用了不同的詞。
# ⇒ ★而這直接改了我對 [78] 的判：我原本判它 ⑦已結案，讀到 :108 才發現【它還等一個觸發】。
#
# ═══ ★第三騎士：觸發還活著嗎（只對群① 24 條逐條查）═══
# ★來源鏈：`docs/roadmap.md` 是 pointer → `game-design.md:122` → ★★`progress.md §當前路線圖總覽`
#   ⇒ ★★★三跳才到 live 檔（roadmap.md 自己只有 15 行）。我跳完，用最終那份判活性。
#
行號	群	在等什麼	★憑哪句話（必在該條目內文）	觸發還活著嗎	行數	標題
15	①等	means-end／長程計畫脊椎 arc	material arc 全 PARK 待它	活 —— 『★★下一主軸 = 長程計劃脊椎（用戶定 2026-08-13）』	38	★★★means-end/長程計畫全系統 = binding root（用戶定 2026-07-24，material arc 全 PARK 待它）
53	⑦已	—（量測結果紀錄，是 [15]/[1847] 那條線的證據段）	build_candidate      = 0	—	15	★★facility 這條路的出口分布（`entry` 為分母，三種歸宿互斥且窮盡、逐日對帳）
68	⑦已	—（明說保留原文供溯源）	保留原文	—	10	★★被這份資料【作廢】的三個舊讀法（★保留原文，因為它們每一個都曾經看起來很有道理）
78	⑥等	★等【市場成交量到達可統計量級】（★★內文寫的是「再驗觸發條件」不是「回訪」⇒ 用回訪一詞找不到它）	再驗觸發條件	—	36	✅⚡效能 arc（事件比例計算）收束（2026-08-27，blueprint 點頭）
114	②等	一輪歸因調查（三條路徑已排除，第四條未查）	未歸因	—	17	⏳ g1a 舊根/新根差異＝【未歸因】，但帶著三條已排除的路徑（2026-08-27，S2 重錨）
131	①等	經濟線 arc	歸經濟線非效能 arc	活 —— 生存經濟 arc 在飛 ＋ 遞延 backlog『economy-balance』	25	🏪 市場撮合幾乎不發生（2026-08-27，效能 arc 公平性量測【順手】挖到，★歸經濟線非效能 arc）
156	⑨聚	【聚合體 552 行】內含多個獨立項，不是一件事	arc 狀態	—	552	★arc 狀態（blueprint 裁 2026-08-26）
708	⑦已	—（判準守護，防誤判用）	防誤判	—	4	★★食安 arc release-pass 成功判準守護（blueprint 命 2026-07-23，防誤判）
712	①等	食安／分配 arc	keystone	活 —— ③長期故事驗證根鏈『接入斷』在飛	16	★★★食糧地方安全 arc = session keystone：兩分配閘（2026-07-23，measure+QA+systems code 三方坐實）
728	⑦已	—（arc 正式收斂完畢）	正式收斂完畢	—	8	★★★武器經濟 arc 正式收斂完畢 → 併入食物安全 arc（2026-07-23 blueprint 收官裁定）
736	⑦已	—（明說已併入上方收官）	已併入上方收官	—	11	arc 收斂中間態（保留脈絡）：weaponsmith 0→0 供給側（2026-07-23，已併入上方收官）
747	①等	經濟／食安 arc	兩硬 build 閘	活 —— 同上經濟線	7	★weaponsmith 真牆 = 兩 build 閘（非 trade，2026-07-23，material-buy arc 後 patch-gate-first）
754	①等	coin 鎖需另解 ⇒ 等經濟 arc	逃生閥 = 解兩鎖	★查不到 —— coin 循環『降框架債 backlog…日後市場活了才有意義』，路線圖總覽無 coin arc	11	★★★貧困陷阱 = reserve_factor urgency-suppression 兩鎖（2026-07-23 大設計洞，blueprint 命記·folds game-de
765	①等	means-end arc（本條是它的頭號 exhibit）	means-end 缺口 concrete 鐵證	活 —— means-end／長程計劃脊椎	6	★cost70 診斷訂正 + construction cap 100 脫鉤 afford 門檻 = means-end 缺口鐵證（2026-07-23 blueprint fac
771	④真	不等任何東西（明說列意識非急）	列意識非急	—	4	smeltery + armorsmith = weaponsmith afford-ceiling 同族洞（2026-07-23 generality audit，列意識非急）
775	⑦已	—（已 ABANDON）	ABANDON	—	4	dispatch afford buffer ×1.5 承重（G1a mint 依賴，不能為 weaponsmith 降，2026-07-22 ABANDON）
779	④真	不等任何東西（低優先）	低優先	—	4	crisis 門檻 flow-based 漏偵絕對餓（food=0×500tick 不 fire，2026-07-22，QA d26ae644 驗證撿，低優先）
783	④真	不等任何東西（範圍小）	範圍小	—	4	market-seeker 卡空市場不放棄→餓死（2026-07-22，QA 40-event 撿，DESPERATION 同族小範圍）
