# docs/process/merge-gates.tsv —— ★merge-gate 註冊表（用戶裁「搬」2026-09-01；位置/格式 systems HOW 裁）
#
# ★★★這份檔【不是給人照著跑的清單】—— 是給 `.claude/hooks/merge-gates.sh` 讀的。
#   ★「要人照著跑的清單」會單向長大，然後沒人跑完整份。搬完之後長大沒關係 —— runner 讀。
#
# ★★★★2026-09-01 補正（implementer 揭）：本表原本有一欄【判準】而 runner【從來沒有執行它】
#   ⇒ ★一支「跑了、exit 0、什麼都不斷言」的閘會拿到 ✓ 並讓總結印 PASS
#   ⇒ ★★那正是「工具崩潰的長相 ＝ 陰性結果的長相」的【第四個實例】，
#      ★★★而它就長在【為了防漏跑而蓋的那個 runner】裡。
#   ⇒ 修法：判準欄改成【機器可執行的 expect pattern】，★runner 必須看到它才算過；
#      ★★沒有 expect 的行 ＝ FAIL（★★★不能有「沒有判準也算過」的路徑）。
#
# ★★★★2026-09-03 實測訂正：總時已經是 **276s（12 支）**，不是下面寫的 78s ——
#   ★`headless` 這道（95s）是 2026-09-03 才補進表的，而下面那段推理是它進表【之前】寫的。
#   ★★下面「不優化，接受 78s」那個裁定【基礎已變】：78s 與 276s 不是同一個決定。
#      ⇒ 保留原文供對照，但**不要拿它當現況** —— ★★★這正是「根修讓舊結論默默過期」的一個現成例子，
#        而它躲過了我今天蓋的那道閘（那道閘只看 `scripts/`，看不到本表）。
#
# ★（以下為 2026-09-01 原文，數字已過期）總時約 78s，其中 `bed-parse` 佔 ~70s（90%）—— ★★【已量過，沒有便宜解】（2026-09-01）：
#   ★啟動只 0.5s，69s 全是實工；★★分佈是【長尾】——前 12 名只佔 18.6%
#     ⇒ 把最貴的 12 張全變成 0，也只省 18.6%
#   ★★★快取那條路【不安全】：床會因為【它引用的 production class 改了】而壞、而床自己內容沒變
#     ⇒ 要正確就得「production 一改就整份失效」⇒ 而 merge 時幾乎總是失效 ⇒ 快取等於沒有
#   ⇒ ★裁定：**不優化，接受 78s** —— ★★一次 merge 值 78 秒。
#   ⇒ ★★★而這條記在這裡，是為了【下一個覺得它太慢的人不用再量一次】。
#
# ★★★2026-09-03 新增註冊前置條件（blueprint 升通則，起因：systems 差一步註冊一個 9% 涵蓋率的閘）：
#   ★**新閘要加進本表，必須先附【它自己的涵蓋率】** —— 「它能看見母體的百分之幾」。
#   ★★涵蓋率不足就【不上】：★★★一道 9% 涵蓋的 warn-only 閘會讓這件事「看起來被管住了」，
#      而那比沒有這道閘更糟（＝橡皮圖章／裝飾閘）。
#   ★量涵蓋率的正確問法（血證）：不是「命中集合非空嗎」，是【命中集合 ∩ 這道閘真正會看的那個管道】——
#      當天的錯法是量「verdict 有沒有指名 scripts 路徑」（73/134＝55%），
#      ★★而其中 61 顆指名的是【床】，床永遠不會出現在 production diff 裡 ⇒ 真值 12/134＝9.0%。
#   ★★★★2026-09-03 併立第三個前置條件（systems 自撞）：**`expect` 必須是【貼出來的實際輸出】，不是照慣例猜的。**
#      ★血證：`own-camp-link` 的 expect 我照別的床的慣例填 `ALL PASS`，★★而那支床【根本沒有印任何總結行】
#        —— 我先前說它「0 fail」是【沒有失敗】不是【有結論】⇒ 註冊後第一次跑就 `no-verdict`，已撤下。
#      ★★★「它會不會紅」與「它印不印得出結論」是【兩件不同的事】：我對前者做了陽性對照，對後者一次都沒驗。
#
#   ★★★2026-09-03 併立第二個前置條件（blueprint 裁「用時付費」）：**新閘／新床註冊前必須做過一次【陽性對照】**
#      ——★故意把它守的東西弄壞，它要變紅。★★理由：過期的守衛有兩種長相，
#      **期望值不再成立 ⇒ 紅（看得到）／期望值不再【咬得住】 ⇒ 綠（沒有人會去查一張綠的床）**。
#      ★★★血證：19 張 docs 當守衛引用的床，跑出 4 紅，其中【3 張是床過期／床有缺陷，0 張是 production 真壞】。
#
#   ⇒ 現存實例：`.claude/hooks/stale-conclusion.sh` **蓋好了但故意不在本表**，
#      啟用觸發記在 `docs/known_issues.md`（狀態：已知未實裝）＝production 指名率 ≥ 50%。
#
# 欄位：id 	 指令 	 用途（一句） 	 ★expect（必須出現在輸出裡的 regex）
constitution	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/constitution_gate.gd	憲法 site-freeze：禁新增引擎外 task 指派	CONSTITUTION-GATE\] PASS
bare-tick	bash .claude/hooks/bare-tick-gate.sh .	裸 tick：擋【新出現而沒人判過】的形狀（NEEDS_HUMAN=0，★不是總數）	BARE-TICK-GATE\] PASS
build-duration	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/construction_duration_source_gate.gd	工期單一真值：擋「有人再開第二張工期表」	construction_duration_source_gate DONE
bed-parse	bash .claude/hooks/bed-parse-gate.sh .	床可載入：擋 parse error 的床（★壞掉的床＝假守衛）	BED-PARSE-GATE\]
bed-arm	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/bed_arm_gate.gd	床 arm 順序：擋 setup 之後才 arm（那段世界的 tap 是盲的）	BED-ARM-GATE] PASS
ki-anchor	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/known_issues_anchor_gate.gd	known_issues 錨健檢：新錨指不到＝真 stale 候選	KI-ANCHOR-GATE] PASS
mailbox-integrity	bash .claude/hooks/mailbox-integrity.sh	信箱完整性:幽靈喚醒(consumed→open 回退且仍 open)+失蹤信(刪了且整棵樹找不回)	MAILBOX-GATE\] ★誠實限
cherrypick-fidelity	bash .claude/hooks/cherrypick-fidelity.sh 40	cherry-pick 忠實度:宣稱帶了某顆而內容不等價(只帶一部分 hunk)	CHERRYPICK-FIDELITY\] ★誠實限
ki-status	bash .claude/hooks/ki-status-gate.sh	known_issues 新條目必帶狀態欄(未確認者回訪只能是量測窗);★baseline 快照存量,存量不擋但【明寫沒被檢查】	\[KI-STATUS\] PASS
single-writer	bash .claude/hooks/single-writer-gate.sh	受管欄位的直寫點必須全在白名單(病:「單寫者其實不單一」);白名單外多一處就紅	\[SINGLE-WRITER\] PASS
tree-div	bash .claude/hooks/tree-divergence.sh	main↔工作 branch 的 production 樹差(★只印不判:branch 永遠有合法 WIP,硬閘會永久紅)	\[TREE-DIV\] PASS
headless	bash .claude/hooks/headless-regression.sh	headless_test 回歸(★2026-09-03 補:它本來【不在】註冊表,而兩顆已 merge 的 slice 弄紅 fixture 時十支全綠);比對失敗【清單】非只數量	\[HEADLESS\] PASS
cross-run-static	bash .claude/hooks/cross-run-static-gate.sh	跨 run static 必須有清除點或在白名單(病:新加一個沒清的 static,而床的 [diag] 行【只印它知道的】看不見它);★涵蓋率 34/34 個 `static var` 宣告形式,誠實限三條必印	\[CROSS-RUN-STATIC\] PASS
own-camp-link	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/zhagen_controlled_bed.gd	紮營→紮根銜接回歸(腿A 站營地該 fire／腿B 不在營地會走回去／腿C 營地沒了要解承諾);★涵蓋率=只涵蓋這條銜接鏈,不涵蓋 organic 發生率;★★陽性對照 own_camp 恆 -1 ⇒ 2 FAIL;★★★expect 是【親跑貼出來的】不是慣例	=== DONE === ALL PASS
zero-caller	bash .claude/hooks/zero-caller-guard.sh	零 caller 的守衛函式(病:複製了機制卻沒接線——函式在、名字對、內容也對,而沒有東西呼叫它);★涵蓋率=名字符合 shadow_check/_reset_cross_run/verify_*/assert_*/clear_* 的 static func 共 14 支;★★陽性對照 self-test 通過;★★★expect 為親跑貼出	\[ZERO-CALLER\] PASS
exam-freeze	bash .claude/hooks/exam-freeze-gate.sh	考程樹凍結:GO 落地→該段卷跑完,禁 merge 改世界的東西(scripts/simulation|scripts/data|config);★儀器/doc/handback 照常;★★誠實限=沒有凍結檔時它什麼都沒驗;★★★陽性對照做過(偽造凍結窗+世界路徑改動⇒FAIL 且指名檔案)	\[EXAM-FREEZE\] PASS
print-join	bash .claude/hooks/print-join-guard.sh	禁 print(換行 join(...)):Godot 單次 print 截在 16383 字元且【被截的輸出看起來完全正常】;★只抓換行 join(單行內 join 幾欄不危險,抓它只是雜訊);★★誠實限=先組成變數再 print 的形狀看不到;★★★陽性對照做過(quoted heredoc 寫探針⇒FAIL 指名檔案;★第一版探針被 printf 把 \n 解成真換行而靜默失效)	\[PRINT-JOIN\] PASS
belief-freshness-invariant	powershell -NoProfile -File ./tools/godot.ps1 --headless --script scripts/debug/belief_freshness_invariant_test.gd	反向斷言：每個 production firsthand 寫入點都帶 tile_pos（★③收束的殘留物——機制拆了，等式要有人守）	總計 FAIL = 0
