# 普查：誰在迭代 state.teams，而它需要的是【活著的】還是【全部的】？
# 產於 is_live_actor 票（HOW: docs/superpowers/specs/2026-09-10-is-live-actor-named-predicate-HOW.md）
# ★本票【不修任何一站】——清單交上游判優先序、分票開（逐站後果不同，混一張票＝無法驗收的大改）。
#
# 母體撈法（★我自己重撈，沒有沿用 spec 的 pattern）：
#   ①grep -rn "in state\.teams" scripts/simulation scripts/data --include=*.gd  ⇒ 60 行
#     ★其中 6 行是【子字串誤命中】（teams_on_tile / teams_by_tile / teams_pending_erase）⇒ 真命中 54
#     ★★而 spec 寫 62：差額 2 ＝ 本票剛剛消滅的那兩處逐字重複（現在是 state.pending_erase_set()）
#   ②R² 找到的【先存變數／當參數傳】那一類 6 站，逐站覆核後併入 ⇒ 母體 60
#   ③我另掃 state.teams.values() / 裸 state.teams 當參數 ⇒ 零命中（與 R² 一致）
#   ⇒ 本表 61 列 ＝ 60 ＋ 【清除端自己】1 站（faction_ai:4416，它迭代的是 teams_pending_erase，
#     ★被 ①的過濾排除掉，我手動收錄——因為讀這張表的人一定會問「那清除端呢」）
#
# class：A=需要活著的（對它做事／玩家可見）｜B=需要全部的（記帳/守恆/fp/cleanup 自己）｜C=讀 code 判不出來
# ★★★C 這一類必須存在：一份沒有 C 的普查是可疑的（它表示分類者把不確定的塞進了 A 或 B）。
site	func	class	reason
scripts/simulation/encounter_system.gd:1403	_find_resident_team_on_tile	A	挑一支居民隊來互動——挑到殭屍＝跟死人交涉
scripts/simulation/faction_ai_system.gd:630	_has_inflight_settler	A	「同派系已有人在去拓殖的路上」＝殭屍會讓活隊誤以為有人去了 ⇒ 拓殖被抑制
scripts/simulation/faction_ai_system.gd:953	_evaluate_all_body	A	★主決策迴圈：殭屍隊【還會做一次決策】（它這 tick 已判死）
scripts/simulation/faction_ai_system.gd:1033	_evaluate_all_body	A	同上第二段；它有 teams.has 復查（防 erase）★但沒有 pending 復查（不防殭屍窗）
scripts/simulation/faction_ai_system.gd:2479	tick_relocations_all	A	對隊執行遷移＝對死人做事
scripts/simulation/faction_ai_system.gd:2841	_resolve_scout_target	A	挑同派系隊當斥候目標
scripts/simulation/faction_ai_system.gd:4825	_try_resume_construction	A	「已有人施工」⇒ 殭屍佔著位置 ⇒ 工地無人續建
scripts/simulation/faction_ai_system.gd:4832	_try_resume_construction	A	同上第二段（挑接手的隊）
scripts/simulation/faction_ai_system.gd:4890	_resident_team_for_construction	A	挑居民隊接手工程
scripts/simulation/faction_ai_system.gd:4986	_dispatch_convoy	A	「已有 convoy 在路上」的判定（drop 點之一）
scripts/simulation/faction_ai_system.gd:7044	_evaluate_uprising	A	挑鄰近生產隊當起事對象
scripts/simulation/interaction_system.gd:953	_market_peer_trade	A	跟 peer 成交＝跟死人交易
scripts/simulation/interaction_system.gd:1668	_find_existing_resident	A	找既有居民隊
scripts/simulation/interaction_system.gd:1693	_convert_to_resident	A	把子隊轉成居民時掃同格隊
scripts/simulation/npc_ai_system.gd:199	_find_revenge_redirect	A	找復仇對象的接手者
scripts/simulation/npc_combat_system.gd:151	team_strength	A	★把護衛隊的戰力加進來——殭屍護衛會【灌水】一支隊的戰力，而戰力餵決策
scripts/simulation/npc_combat_system.gd:374	_end_combat	A	戰後找護衛隊
scripts/simulation/outpost_system.gd:261	_has_resident_on_tile	A	據點有沒有居民＝殭屍會讓它看起來有人住
scripts/simulation/outpost_system.gd:369	_tick_construction	A	挑正在施工的隊推進工程
scripts/simulation/outpost_system.gd:513	_complete_construction	B	★④b：據點滋 ⇒ 登記在它上面的隊全部流離；契約解除要掃【全部】的紀錄（死隊身上的 work_outpost 也是殘留）
scripts/simulation/outpost_system.gd:850	_has_control	A	據點控制權判定
scripts/simulation/player_api_mapper.gd:352	map_location_context	A	★玩家可見面：殭屍隊會在「這格有誰」裡閃現一 tick
scripts/simulation/player_api_mapper.gd:743	map_subteam_panel	A	★玩家可見面：子隊面板
scripts/simulation/player_api_mapper.gd:757	map_subteam_panel	A	★玩家可見面：同上第二段
scripts/simulation/player_api_mapper.gd:810	map_visible_teams_render	A	★玩家可見面：地圖渲染
scripts/simulation/player_command_system.gd:970	refresh_colocation_targets	A	★玩家的互動對象清單——他可能對一支死了的隊按下按鈕
scripts/simulation/reaction_system.gd:439	_spawn_exile_or_join	A	流亡者要加入誰
scripts/simulation/strategic_ai_system.gd:328	_tile_has_resident	A	同 outpost 的居民判定
scripts/simulation/vision_system.gd:39	tick_discovery	A	★發現＝寫進 belief：發現一支這 tick 就會消失的隊 ⇒ 留下一筆指向不存在隊的 belief
scripts/simulation/decision/decision_context.gd:708	gather	A	同派系同僚掃描（餵決策）
scripts/simulation/decision/goal_resolver.gd:353	_distribute_candidates	A	convoy 候選（對它派活）
