# docs/process/ledgers/2026-09-06-deleted-merged-branches.txt
# ★blueprint 裁 2026-09-06:已【完全 merge 進 main】的 local branch 全刪。
#   ★理由:commit 全部 reachable from main ⇒ 刪了不掉任何東西;
#   ★★留著的成本不是磁碟,是【git branch 的輸出沒有人讀得完】
#     ⇒ 52 支【真的還沒 merge】的藏在 288 支裡面。
# ★★★這份清單存在的理由:刪除要留帳 —— 否則「刪了」跟「從來沒有過」長得一樣。
# 刪除前 tip sha 一併記下(要復原:git branch <name> <sha>)
# ★★★【實際結果，不是計畫】：清單列了 236 支，而【真正刪掉的是 193 支】。
#   ★另外 43 支被 `git branch -d` 【拒絕】—— 它們正被 worktree 佔用（保護正確，不是失敗）。
#   ★★這一行存在的理由：清單寫 236 而事實是 193 ——
#      ★★★若不寫下來，日後任何人拿這份清單當「這些都不在了」的依據都會是錯的。
#   ⇒ 被拒的那幾支列在檔尾，它們【仍然存在】。

04f857f1	2026-06-01-claudever
df9bb49d	exam/seg1-specimen
cc364b7e	feat/A2b-impl
c7f5fe1c	feat/acquisition-paths-wire-in
630f177c	feat/active-anon-promotion
18f40293	feat/agriculture-a
5b986d44	feat/agriculture-b
181dfd33	feat/arbiter-deny-by-option
58f5dc69	feat/asm-deepen-hunger-raid
171b3709	feat/attempt-tick-team
7fb16350	feat/beast-fix
c41aa925	feat/bed-baselines
46f26889	feat/bed-follow-generator
14681238	feat/beg-join-probe
b7a57ba6	feat/belief-freshness-tile-pos
8b0480b4	feat/breed-rate-continuous
fc61d7d8	feat/bucketb2-marks
f4ac3ee6	feat/bucketb-gateok
90f3fe19	feat/build-eta-single-source
2dd9835d	feat/buyfood-survival-option
677d8c7b	feat/cadence-spike-fix
7dd00787	feat/camp-access
e560c48e	feat/capture-completion
89af4837	feat/careloop-scout-depatch
88c8dcd6	feat/coin-conservation
6f622b6a	feat/colo-sight-control-bed
f2af65e6	feat/combat-s1-pursuit
43bfcd60	feat/combat-target-split
dcac872c	feat/conquest-measure
