# docs/process/ctx-exposure.tsv —— ctx 欄位 × 玩家可見度（★機械閘 ctx-coverage-gate.sh 讀它）
#
# ★母體＝decision_context.gd 的 var 欄位（引擎替這具身體真的讀了什麼）。
# ★★每一欄必須【剛好】出現一次；status 三選一：
#   exposed  已端出去（★who 欄寫【哪支公開動詞】，不是「應該可以」）
#   exempt   ★對玩家零語意的純中間 scaffolding —— ★★而它【要呈用戶簽】（不呈＝不豁免）
#   todo     ★該接還沒接 ⇒ who 欄寫 TODO:<存在的票路徑>（同 failure-feedback 的規矩）
# ★★★pages 是【集合】（分號分隔）：一欄可掛多頁（feud 同時屬社交與威脅，純量會逼它選一邊）。
# ★★★★`未分頁` 不是一個分頁，是【還沒有人決定它屬於哪一頁】——
#   ★分頁是 WHAT（玩家在哪裡找得到它），不該由實作端關鍵字猜；
#   ★★我用關鍵字自動分了 77 欄、剩 42 欄關鍵字答不出來 ⇒ 標 `未分頁` 交 blueprint 裁，
#   ★★★而不是塞進「其他」——那會是一個【不會變成 0 的垃圾桶】（今天已經立過這條）。
# ★★★★分頁：blueprint 2026-09-10 裁【定方法，不逐欄欽定】，systems 依方法重過全部 119 欄。
#   方法＝【頁 ＝ 該欄回答的問題】（不是欄位名稱長什麼樣）：
#     生存＝我活不活得下去（糧/覓食/紮營/返家/絕境）
#     經濟＝我有什麼、賺不賺得到、買不買得起、造不造得出來
#     威脅＝誰會打我、我打不打得贏
#     社交＝我跟誰有關係、誰能幫我、我屬於誰、我的領袖是什麼樣的人
#     記憶＝我知道的東西有多舊、我記得誰拒絕過我
#   ★全部標【暫定】—— ★★最終批准閘＝C1 票② 的【文字版畫面走查給用戶簽】
#     （分頁對錯在那裡被【真人】看見；★★★「錯分頁沒人發現」的解是走查，不是遙控 119 格）。
#   ★關鍵字猜的那 77 欄【一併按語意複核】，59 欄被改動。
#   ★★★一個五頁裝不下的發現：`current_task` 回答的是【我現在在做什麼】——
#     那不是五頁中任何一頁的問題（它是所有頁的抬頭）⇒ 標 `★常駐狀態列(header)`，已呈 blueprint。
# ★第五欄【中文顯示名】（systems 2026-09-10，blueprint 拉前）：
#   ★★REPL、GUI、走查【同一張表取名】—— 否則三個地方各取各的，
#     而同一個欄位在三個畫面上叫三個名字⇒ 用戶無法交叉比對。
#   ★★★它是【附加在最後】而不是插在中間：現有讀者都按位置讀 $1..$4
#     （c1_walkthrough.gd:126 、ctx-coverage-gate.sh）⇒ 插在中間會静默地把它們全部弄歪。
field	status	pages	who	中文顯示名
leader_values	exposed	社交	player_query_api.get_decision_snapshot	領袖的價值觀
desperation_entry_threshold	exposed	生存	player_query_api.get_decision_snapshot	走投無路的門檻
food_days	exposed	生存	player_query_api.get_player_snapshot	粮食還能撒幾天
can_rescue_build	exposed	生存	player_query_api.get_decision_snapshot	能不能援手施工
rescue_build_util	exposed	生存	player_query_api.get_decision_snapshot	援手施工的劃算
population	exposed	生存	player_query_api.get_decision_snapshot	人數
has_goods	exposed	經濟	player_query_api.get_decision_snapshot	手上有貨
has_arb	exposed	經濟	player_query_api.get_decision_snapshot	有無兩地價差
arb_gain	exposed	經濟	player_query_api.get_decision_snapshot	兩地價差賺多少
team_strength	exposed	威脅	player_query_api.get_decision_snapshot	本隊戰力
threat	exposed	威脅	player_query_api.get_decision_snapshot	受到的威脅
team_panic	exposed	生存	player_query_api.get_decision_snapshot	隊伍慌張程度
ambition_gap	exposed	社交	player_query_api.get_decision_snapshot	野心與現狀的落差
strongest_feud	exposed	社交;威脅	player_query_api.get_decision_snapshot	最深的仇
feud_target_id	exposed	社交;威脅	player_query_api.get_decision_snapshot	仇家是誰
pending_claim_amt	exposed	經濟	player_query_api.get_decision_snapshot	寄賣待收金額
pending_claim_pos	exposed	經濟	player_query_api.get_decision_snapshot	寄賣在哪裡
pending_claim_dist	exposed	經濟	player_query_api.get_decision_snapshot	距寄賣地多遠
pending_claim_coin	exposed	經濟	player_query_api.get_decision_snapshot	寄賣待收錢
pending_claim_goods	exposed	經濟	player_query_api.get_decision_snapshot	寄賣待收貨
has_own_outpost	exposed	生存;經濟	player_query_api.get_decision_snapshot	腳下是不是自家據點
has_manufacturing_facility	exposed	經濟	player_query_api.get_decision_snapshot	有沒有工坊
produce_pull	exposed	經濟	player_query_api.get_decision_snapshot	生產的拉力
idle_labor	exposed	經濟	player_query_api.get_decision_snapshot	閒置人手
idle_employ_value	exposed	經濟	player_query_api.get_decision_snapshot	把閒人用起來值多少
is_merchant	exposed	經濟	player_query_api.get_decision_snapshot	是不是商隊
has_home_outpost	exposed	生存	player_query_api.get_decision_snapshot	在世上有沒有家
home_restock_min	exposed	生存	player_query_api.get_decision_snapshot	值不值得回家補給
current_task	exposed	★常駐狀態列(header)	player_query_api.get_decision_snapshot	現在在做什麼
has_weak_prey	exposed	威脅	player_query_api.get_decision_snapshot	附近有沒有弱雞
self_armed_ratio	exposed	威脅	player_query_api.get_decision_snapshot	自己武裝比例
has_occupy_target	exposed	威脅	player_query_api.get_decision_snapshot	有沒有可佔的地
occupy_target_id	exposed	威脅	player_query_api.get_decision_snapshot	想佔哪一块
has_strong_neighbor	exposed	社交;威脅	player_query_api.get_decision_snapshot	旁邊有沒有強鄰
strong_neighbor_id	exposed	社交;威脅	player_query_api.get_decision_snapshot	強鄰是誰
has_farmable_tile	exposed	生存	player_query_api.get_decision_snapshot	有沒有能開的田
farmable_pos	exposed	生存	player_query_api.get_decision_snapshot	可開的田在哪
camp_target_est	exposed	生存	player_query_api.get_decision_snapshot	營地預估收益
camp_forage_floor	exposed	生存	player_query_api.get_decision_snapshot	營地的糊口底
passive_food_daily	exposed	生存	player_query_api.get_decision_snapshot	每日自動進粮
forage_yield_here	exposed	生存	player_query_api.get_decision_snapshot	在這裡覓食拿得到多少
forage_yield_target	exposed	生存	player_query_api.get_decision_snapshot	走過去覓食拿得到多少
food_seek_delay_days	exposed	生存	player_query_api.get_decision_snapshot	找粮要耗幾天
join_host_flow	exposed	生存;社交	player_query_api.get_decision_snapshot	投靠別人的粮流
occupy_target_flow	exposed	生存;威脅	player_query_api.get_decision_snapshot	佔下那塊地的粮流
net_food_flow	exposed	生存	player_query_api.get_decision_snapshot	粮食淨流（進減耗）
food_stock	exposed	生存	player_query_api.get_decision_snapshot	庫存粮
camp_site_quality_mult	exposed	生存;記憶	player_query_api.get_decision_snapshot	營地選址品質
camp_flow_delay_days	exposed	生存	player_query_api.get_decision_snapshot	營地要等幾天才有粮
can_settle_here	exposed	生存	player_query_api.get_decision_snapshot	能不能就地紮根
